CALCULO 1A                             ; ENGENHARIA DE MATERIAIS   ; 246T12 ; APARECIDA
CALCULO 1A                             ; ENGENHARIA DE MATERIAIS   ; 246T34 ; APARECIDA
CALCULO 1A                             ; ENGENHARIA DE MATERIAIS   ; 246T12 ; APARECIDA
CALCULO 1A                             ; ENGENHARIA DE MATERIAIS   ; 246T34 ; APARECIDA
GEOMETRIA ANALITICA                    ; ENGENHARIA DE TRANSPORTES ; 24M23  ; APARECIDA
GEOMETRIA ANALITICA                    ; ENGENHARIA DE PRODUCAO    ; 24M45  ; APARECIDA
CALCULO 3A                             ; ENGENHARIA DE MATERIAIS   ; 24M45  ; APARECIDA
CALCULO 3B                             ; ENGENHARIA DE TRANSPORTES ; 24T12  ; APARECIDA
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA DE TRANSPORTES ; 24M23  ; APARECIDA
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA DE MATERIAIS   ; 24M45  ; APARECIDA
CALCULO 1A                             ; ENGENHARIA ELETRICA       ; 246M12 ; COLEMAR
CALCULO 1A                             ; ENGENHARIA DE COMPUTACAO  ; 246M34 ; COLEMAR
CALCULO 2A                             ; ENGENHARIA CIVIL          ; 246M12 ; COLEMAR
ALGEBRA LINEAR                         ; ENGENHARIA CIVIL          ; 24M34  ; COLEMAR
EDO                                    ; ENGENHARIA DE COMPUTACAO  ; 24M56  ; COLEMAR
CALCULO 3                              ; ENGENHARIA ELETRICA       ; 24M12  ; COLEMAR
CALCULO 3A                             ; ENGENHARIA DE COMPUTACAO  ; 24M34  ; COLEMAR
EDO                                    ; ENGENHARIA CIVIL          ; 24M12  ; COLEMAR
EDO                                    ; ENGENHARIA ELETRICA       ; 24M34  ; COLEMAR
EDO                                    ; ENGENHARIA AMBIENTAL      ; 24M56  ; COLEMAR
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA DE COMPUTACAO  ; 46M12  ; COLEMAR
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA AMBIENTAL      ; 46M34  ; COLEMAR
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA CIVIL          ; 46M56  ; COLEMAR
GEOMETRIA ANALITICA                    ; ENGENHARIA ELETRICA       ; 35M12  ; COLEMAR
CALCULO NUMERICO                       ; ENGENHARIA ELETRICA       ; 35M34  ; COLEMAR
MATEMATICA DISCRETA                    ; ENGENHARIA DE COMPUTACAO  ; 35M56  ; COLEMAR
BIOESTATISTICA                         ; NUTRICAO                  ; 6M12   ; COLEMAR3
CALCULO 1A                             ; ENGENHARIA CIVIL          ; 246T12 ; COLEMAR
CALCULO 1A                             ; ENGENHARIA AMBIENTAL      ; 246T34 ; COLEMAR
CALCULO 3A                             ; ENGENHARIA CIVIL          ; 24T56  ; COLEMAR
CALCULO 2 A                            ; ENGENHARIA ELETRICA       ; 246T12 ; COLEMAR
CALCULO 2A                             ; ENGENHARIA DE COMPUTACAO  ; 246T34 ; COLEMAR
ALGEBRA LINEAR                         ; ENGENHARIA ELETRICA       ; 35T12  ; COLEMAR
CALCULO NUMERICO                       ; ENGENHARIA CIVIL          ; 35T12  ; COLEMAR
GEOMETRIA ANALITICA                    ; ENGENHARIA CIVIL          ; 46T34  ; COLEMAR
ALGEBRA LINEAR                         ; ENGENHARIA DE COMPUTACAO  ; 46T56  ; COLEMAR
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA ELETRICA       ; 46T34  ; COLEMAR
BIOESTATISTICA                         ; FARMACIA                  ; 46T23  ; COLEMAR
BIOESTATISTICA 1                       ; MEDICINA                  ; 4T12   ; COLEMAR
BIOESTATISTICA 1                       ; MEDICINA                  ; 6T12   ; COLEMAR
ESTATISTICA 1                          ; PSICOLOGIA                ; 35N34  ; COLEMAR
CALCULO NUMERICO                       ; ENGENHARIA DE COMPUTACAO  ; 35N45  ; COLEMAR
CALCULO 1A                             ; ENGENHARIA DE ALIMENTOS   ; 246M23 ; SAMAMBAIA
EDO                                    ; CIENCIA DA COMPUTACAO     ; 24M45  ; SAMAMBAIA
CALCULO 1A                             ; QUIMICA BACHARELADO       ; 246M23 ; SAMAMBAIA
ALGEBRA LINEAR                         ; QUIMICA BACHARELADO       ; 46M45  ; SAMAMBAIA
